actor_id,name,profile_path,gender
31,Tom Hanks,/pQFoyx7rp09CJTAb932F2g8Nlho.jpg,2
12898,Tim Allen,/uX2xVf6pMmPepxnvFWyBtjexzgY.jpg,2
7167,Don Rickles,/h5BcaDMPRVLHLDzbQavec4xfSdt.jpg,2
12899,Jim Varney,/eIo2jVVXYgjDtaHoF19Ll9vtW7h.jpg,2
12900,Wallace Shawn,/oGE6JqPP2xH4tNORKNqxbNPYi7u.jpg,2
2157,Robin Williams,/sojtJyIV3lkUeThD7A2oHNm8183.jpg,2
8537,Jonathan Hyde,/7il5D76vx6QVRVlpVvBPEC40MBi.jpg,2
205,Kirsten Dunst,/wBXvh6PJd0IUVNpvatPC1kzuHtm.jpg,1
145151,Bradley Pierce,/j6iW0vVA23GQniAPSYI6mi4hiEW.jpg,0
5149,Bonnie Hunt,/7spiVQwmr8siw5QCcvvdRG3c7Lf.jpg,1
6837,Walter Matthau,/xJVkvprOnzP5Zdh5y63y8HHniDZ.jpg,2
3151,Jack Lemmon,/chZmNRYMtqkiDlatprGDH4BzGqG.jpg,2
13567,Ann-Margret,/jx5lTaJ5VXZHYB52gaOTAZ9STZk.jpg,1
16757,Sophia Loren,/emKLhbji1c7BjcA2DdbWf0EP9zH.jpg,1
589,Daryl Hannah,/4LLmp6AQdlj6ueGCRbVRSGvvFSt.jpg,1
67773,Steve Martin,/rI2EMvkfKKPKa5z0nM2pFVBtUyO.jpg,2
3092,Diane Keaton,/fzgUMnbOkxC6E3EFcYHWHFaiKyp.jpg,1
519,Martin Short,/oZQorXBjTxrdkTJFpoDwOcQ91ji.jpg,2
70696,Kimberly Williams-Paisley,/nVp4F4VFqVvjh6huOULUQoiAguY.jpg,1
59222,George Newbern,/48Ouqe1g8QrZ6qjvap5NvhfKuly.jpg,2
1158,Al Pacino,/ks7Ba8x9fJUlP9decBr6Dh5mThX.jpg,2
380,Robert De Niro,/lvTSwUcvJRLAJ2FB5qFaukel516.jpg,2
5576,Val Kilmer,/AlhPeiH8R4reMNGNQ9ag1FPbuW9.jpg,2
10127,Jon Voight,/c7BvyqlvqDkfkFqSBUCiR21fvTh.jpg,2
3197,Tom Sizemore,/soINOuacuiThRb2LyPD4tTWve7C.jpg,2
3,Harrison Ford,/7CcoVFTogQgex2kJkXKMe8qHZrC.jpg,2
15887,Julia Ormond,/GYnXYOvBhzPfNmTpeIiO0XRTUu.jpg,1
17141,Greg Kinnear,/agOTbOC76I6rC7TPuCTquvngXRu.jpg,2
4301,Angie Dickinson,/tseegCkV3HvsXKIbcFuXHdzG4o2.jpg,1
12957,Nancy Marchand,/d9DASq3XmUsyfzSrATbAAOY7yn1.jpg,1
15111,Jean-Claude Van Damme,/aqZ9RjL5j44HMlBMvTaawhHiGOH.jpg,2
6280,Powers Boothe,/3nNL6AvMAYq0BmHKM79RnRZVq3i.jpg,2
8656,Dorian Harewood,/qSHAaRlh8yjTHtYReU0CUWgSFt5.jpg,2
10361,Raymond J. Barry,/k4WDNgYHOUgRaPQIsZUPUxl1lO6.jpg,2
12928,Ross Malinger,/oeqoxZ3WgQRUE1DusC68SACHHrC.jpg,2
517,Pierce Brosnan,/1JXL0zrA26JjdoX8sqf57fJRDVM.jpg,2
48,Sean Bean,/iIxP2IzvcLgr5WaTBD4UfSqaV3q.jpg,2
10695,Izabella Scorupco,/hMhy6vd7vyWb06aKqbbx9Nba55X.jpg,1
10696,Famke Janssen,/9wHWq6Mnfpn8L1diMxjr26ReZWl.jpg,1
10671,Joe Don Baker,/bLvWzzb9SyoyjwPpj5pgzXb9tuC.jpg,2
3392,Michael Douglas,/nmlitv4g2jXO3sJrnA9g980j2uc.jpg,2
516,Annette Bening,/q8pCSQzGLrhgtVXBKzMnwfoeBlH.jpg,1
521,Michael J. Fox,/aeN1cA04vVXKrVy1SuS1JOhABBs.jpg,2
8349,Martin Sheen,/ve77Q75moQhoB6cxdMfigfrHeTA.jpg,2
63279,Anna Deavere Smith,/1sJnUz9umndJBGZIh9QfxAd7uxg.jpg,1
7633,Leslie Nielsen,/cZpuTfE1j63tCEXoSL2A7KZjk5d.jpg,2
14639,Mel Brooks,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg,2
1219,Amy Yasbeck,/c7WOXDlKE9cwTBjpUtCKFPqnptr.jpg,1
12688,Peter MacNicol,/hw4KTj66xh2FupS5sQMeNMNL6lx.jpg,2
12812,Lysette Anthony,/yLTijECWVviLdhB03IYkZSJJLcY.jpg,1
4724,Kevin Bacon,/bMVujB1SaHhXD5gQdO4Xf47WXD3.jpg,2
382,Bob Hoskins,/mIgAC6q5HcHHxZUIiCOvE6mHLGs.jpg,2
2233,Bridget Fonda,/yWxhdN59eksIqyBHdjUcLRgCIaI.jpg,1
12077,Jim Cummings,/i9frXvIJsGtoFikBEFVqE7uN8Bq.jpg,2
110001,Phil Collins,/eKEZE5yrSnimQ8Eq75G7wSEemkh.jpg,2
4173,Anthony Hopkins,/jdoBTIru71FbPuHGEgox5RVmIO0.jpg,2
11148,Joan Allen,/Atg0mSjK9Dl98YBsFvBuGO8PG5m.jpg,1
228,Ed Harris,/atzm7ZGRFSWJHQT6qKmzjmNQ9GA.jpg,2
16935,Geena Davis,/6b8cRJOItz7yNpYuLCPkl5kv4m2.jpg,1
8654,Matthew Modine,/tEQG1Us5IuoKYtufZe6waWtxfeg.jpg,2
8924,Frank Langella,/wMlcjLBQouQjE0iceseNTxUF3BF.jpg,2
7868,Maury Chaykin,/jhJgkb5P0oAW7QtULjqD2kaN0ez.jpg,2
8979,Patrick Malahide,/pv65v8oEhLo0ibCz1K23UCoKMuS.jpg,2
4430,Sharon Stone,/m57fGJemBTpsjydGlaZJywlIWz4.jpg,1
4517,Joe Pesci,/2CaYAhUZgkAeqtpIzuqGcqArsOy.jpg,2
4512,James Woods,/fl5Jx1WFvBcg1b9VZRfXTH6LPUE.jpg,2
204,Kate Winslet,/w8wjPbS24vPErNeYhAvtbyAUBMd.jpg,1
7056,Emma Thompson,/cWTBHN8kLf6yapxiaQD9C6N1uMw.jpg,1
3291,Hugh Grant,/r3rSJLJwKmsJyPA3gojzuMthJ4C.jpg,2
207,Tom Wilkinson,/4mxZKgdem0sQ8hJd0Y7TREwq7TJ.jpg,2
4566,Alan Rickman,/7tADZs4ILE93oJ5pAh6mKQFEq2m.jpg,2
3129,Tim Roth,/r4jtlboNqWPz2dOHafrPJE4Yd94.jpg,2
3131,Antonio Banderas,/85197jARsr06xQ84NhP9YoBL3sR.jpg,2
3130,Jennifer Beals,/uYa9mUAh3YeFlACaY0rI0Oz7pRf.jpg,1
3125,Madonna,/oWBpuX3Bxcp6pyP4KNKws0JibDD.jpg,1
3141,Marisa Tomei,/w8qBpRcv04D5eSnnmvRL7PXyW36.jpg,1
